0 NOMEFANTASIA;1 ENDERECO;BAIRRO;2 CEP;3 MUNICIPIO;4 UF;5 COORDENADAS;6 NVOTOS;7 RANK;8 PRECOS;9 RANKPRECOS;10 DATAATUALIZACAO
Posto Premier;Av. Sen. Salgado Filho, 1552;Tirol;59022-000;Natal;RN;-5.81064508080955, -35.20450492805552;68;4;7.190,6.058,7.230,7.357,;2,2,2,2,2;
Posto Cidade Natal;Av. Sen. Salgado Filho, 2102;Lagoa Nova;59056-000;Natal;RN;-5.815061323507136, -35.206155926941804;;;;;
Posto Monte Belo - Romualdo;Av. Romualdo Galvão, 1954;Lagoa Nova;59056-105;Natal;RN;-5.811927723146007, -35.208301553553106;;;;;
Posto Amigo - Salgado Filho;Av. Sen. Salgado Filho, 2840;Lagoa Nova;59076-000;Natal;RN;-5.823616768173716, -35.20891700902441;;;;;
Postos dos Anjos;Av. dos Xavantes, 2001;Pitimbú;59067-600;Natal;RN;-5.86589084965274, -35.22617744294625;;;;;
Zumba Petróleo;Av. Dr. João Medeiros Filho, 975;Igapó;59104-200;Natal;RN;-5.76260409332525, -35.25214100947361;;;;;
Posto Carrefour Posto Natal Zona Norte;Av. Dr. João Medeiros Filho, 2005;Potengi;59108-200;Natal;RN;-5.75945233907403, -35.247539269429545;;;;;
Auto Posto Esmeraldo-24 Horas;Av. Engenheiro Roberto Freire, 1608;Capim Macio;59082-400;Natal;RN;-5.862799971218557, -35.190016715342075;;;;;
Cirne Postos - Petrópolis;R. Gen. Gustavo Cordeiro de Faria, 383;Petrópolis;59056-200;Natal;RN;-5.78050355417864, -35.19869901564033;;;;;
Posto campo belo;R. Fonseca e Silva, 1088;Alecrim;59030-270;Natal;RN;-5.792921412841297, -35.21456539484271;;;;;
Posto Alecrim;R. Pres. Sarmento, 426;Alecrim;59032-400;Natal;RN;-5.7967061396047725, -35.223131266050615;;;;;
Posto Petrobras Frei Damião;Av. Capitão-Mor Gouveia, 1245;Dix-Sept Rosado;59060-400;Natal;RN;-5.82101601159894, -35.23333910100303;;;;;